headword,headword_raw,translation
ტეკ,tek,there
ტაკ,tak,here
ტეურე,teure,thither
ტაურე,taure,hither
თიმწკჷმა,timc'k'əma,then
ტიმწკალა,timc'k'ala,then
ხატე,xate,then immediately
უკული,uk'uli,later
ვეღუ,v-eɣu,Neg-take
მუტუნი,mutuni,something
თეში,teši,thatway
მოლარტუ,molartu,come
ჸუდშა,ʔud-ša,house-All
სკანი,skani,your
სამარტალს,samartal-s,justice-Dat
ირი,iri,every
ოცქვანსჷ,ockvansə,praise
მატი,ma-ti,I-too
კარიშა,k'ar-iša,your door-All
ქჷმოფრთი,kəmoprti,come
მიოჯინნი,mioǯin-ni,look-Comp
ქოძირ,koʒir,see
ტაკი,taki,here
მოპრტი,moprti,come
ლაზუტი,lazut'i,corn
ქომიჸიდირჷდჷკო,komiʔidirədək'o,buy
ინა,ina,s/he
გაკვირებული,gak'virebuli,surprised
ოჭკომალქ,oč'k'omal-k,food-Nar
ვა,va,Neg
აჭკომჷ,ač'k'omə,eat/Pot
და,da,if
სკუა,skua,child/Nom
ქოჸუნდუა,koʔundu-a,have-Quot
გვერდო,gverdo,half
ღურელი,ɣureli,dead
იჸუაფუდუა,iʔuapudu-a,be-Quot
ეშელჷ,ešelə,go
გიოჯინუო,gioǯinu-o,look-Ques
ქიჩინუ,kičinu,know
მუჟანსით,mužansit,when
კუმორტ,kumort,come
სო,so,where
დინჷქჷ,dinəkə,lose
თექჷ,tekə,there
ბდინჷქჷ,bdinəkə,lose
ეპარპალუა,eparpalua,to ignite
აბაზი,abazi,old 20 kopecks
ექუჩუჩუა,equCuCua,to grass
აბანა,abana,bath-house
აბუგა,abuga,bag
ობედი,obedi,tinder
გინოშვარშვალუა,ginoSvarSvalua,to wave
ბონდღი,bondRi,web
ბორბოლიაშ,borboliaS,web
ეშაბორდღუა,eSabordRua,to crawl up
კუმათ,kumaT,to smoke
აშონთება,aSonTeba,to excite
აბრეშუმი,abreSumi,silk
დარაია,daraia,silk
ებარბანჩუა,ebarbanCua,to blaze up
ეზოჯინაფა,ezojinafa,to stand up smb. stand
ებარჯუა,ebarjua,to tousle
ეშაბარუა,eSabarua,to blister
ანჯარი,anjari,armor
აგარაკი,agaraki,bower
ეჸოთამა,eYoTama,to throw up
ეგაფა,egafa,to construct
ამარ,amar,here
არგუსო,arguso,August
იშარგინაფა,iSarginafa,to roll up
ანგურაშფერი,anguraSferi,brick-red
ადათი,adaTi,custom
ადამიანი,adamiani,human
არდგილი,ardgili,place
ათაქიანი,aTaqiani,local
ედგინა,edgina,to stand up
ელათხოზინი,elaTxozini,to follow
ანდვილას,andvilas,easily
ანდვილი,andvili,easy
ადლი,adli,"old measure unit, approximately 1meter"
ადრე,adre,early
ადრეიანი,adreiani,earlier
ეფუნაფა,efunafa,to boil
ლეხი,lexi,ill
ლეხიანი,lexiani,a sick person
ლახალა,laxala,illness
ელაფა,elafa,to rush up
ხანდარა,xandara,bad weather
კაპასი,kapasi,wicked
ეფშაფა,efSafa,to fill up
ჸორჩე,YorCe,ribald
ჟინოსქუა,Jinosqua,nobleman
არზი,arzi,thought
ანთასი,anTasi,thousand
ვითოში,viToSi,thousand
კოროცხუა,korocxua,to count
ვითი,viTi,ten
აბარწა,abarwa,balcony
ონწე,onwe,cradle
ეკირუა,ekirua,to tie up
მობუნაფა,mobunafa,to load
ეკორობუა,ekorobua,to pick up
ალალი,alali,honest
ხახალა,xaxala,honest
ჭიშკარი,WiSkari,gate
ალბეთ,albeT,probably
მოფერაფა,moferafa,to pet
ჩე,Ce,poplar
ალონი,aloni,dawn
ალიშფერი,aliSferi,scarlet
ალმასი,aImasi,diamond
ალიართენი,aliarTeni,blush
ბიბილო,bibilo,cherry
აინჩა,ainCa,a type of a plum
ტაჯალა,tajala,witch
ალღო,alRo,intuition
მაჸვენჯი,maYvenji,retinue
ხვალე,xvale,to have only one thing
ეკუნა,ekuna,to hoist
ამუსერი,amuseri,"this night, tonight"
ამაღლება,amaRleba,Ascension day
ამაყი,amayi,proud
ამბე,ambe,story
ათეგვარი,aTegvari,"such, similar"
ათეზუმა,aTezuma,"so many, so much"
ამინდი,amindi,weather
ათეში,aTeSi,"his, her, its"
ათეშენი,aTeSeni,that is why
ათენერი,aTeneri,such
ვარა,vara,or
ანაბარო,anabaro,left to the mercy of smb./smth
