headword,headword_raw,translation
ჭუკიშ,WukiS,mousetrap
რაგვი,ragvi,mousetrap
მუშდუდიშო,muSdudiSo,"intended for himself/ herself, profitable for himself/herself"
ომუშეთ,omuSeT,"intended for himself/ herself, profitable for himself/herself"
ოლაჸაფინაია,olaYafinaia,toy
სათასო,saTaso,seed
ოკოროცხალი,okorocxali,"amount, number"
ოთიფურე,oTifure,to be mowed
ოცალარი,ocalari,to be mowed
სათოფო,saTofo,gun-port
სარაგადო,saragado,smth. to be told
ორაგადე,oragade,smth. to be told
სოლეშე,soleSe,where from
სალამუსო,salamuso,secret
სოჸურე,soYure,where
საიმენდო,saimendo,reliable
ოკიკონალი,okikonali,birds' peck
ოკილარი,okilari,lock
ოკუმური,okumuri,chimney
ოჭკომალი,oWkomali,food
სარკო,sarko,miracle
ოკირე,okire,lime kiln
გუმორძგუა,gumorZgua,greeting
სალამი,salami,greeting
ლარჭემი,larWemi,"Georgian musical instrument, a shepherd's pipe"
ლასარი,lasari,high steep
მანგიორი,mangiori,"return, equivalents"
სამარდული,samarduli,to be thankful for smth
ოფულარი,ofulari,place for hiding
პიჯიშ,pijiS,razor
მართალი,marTali,fair
ოჯიმოლი,ojimoli,salt-cellar
საჯიმოლი,sajimoli,salt-cellar
საონჯღორო,saonjRoro,shameful
საპიჩო,sapiCo,for fasting
სუმოში,sumoSi,three hundred
სამახარობო,samaxarobo,areward given to the person who brought good news
სამაღარიჩო,samaRariCo,areward given to the person who brought good news
გასაშინე,gasaSine,memorable
ოშარე,oSare,for travel
საშარო,saSaro,for travel
სანდურო,sanduro,reproach
ონდურებელი,ondurebeli,reproach
სუმი,sumi,three
გიონიშანებელი,gioniSanebeli,target
ომკურნალებერი,omkurnaleberi,medicative
ოხვამე,oxvame,chapel
სამთხე,samTxe,paradise
ედემიშ,edemiS,paradise
სადღემუშო,sadRemuSo,eternal
სამურაბო,samurabo,for jam
სამუშა,samuSa,"work, job"
ომუშებელი,omuSebeli,"work, job"
ქიანა,qiana,"world, universe"
თახაშხა,TaxaSxa,Tuesday
სანარღო,sanarRo,regrettable
ოწუხებელი,owuxebeli,regrettable
ოჭკადურეში,oWkadureSi,forge
ოცქვაფალი,ocqvafali,praiseworthy
ოლიშე,oliSe,needle-case
ლიშიშ,liSiS,needle-case
სანთელი,sanTeli,candle
კითით,kiTiT,exemplary
საიმენდო,saimendo,consoling
ოლიმერი,olimeri,for war
საისტორიო,saistorio,amazing
საფარსაკო,safarsako,amazing
ოხოკალი,oxokali,razor
სამოჭყუდუო,samoWyuduo,bridal
საპატიცემო,sapaticemo,respectable
ციხე,cixe,prison
საპატიო,sapatio,honorable
საპონი,saponi,soap
ტყარ,tyar,weed
ონახვალი,onaxvali,washing
სარკე,sarke,mirror
ცა,ca,palate
სასამართლო,sasamarTlo,court
სასანთელე,sasanTele,candlestick
სასაპონე,sasapone,soap dish
ორგებელი,orgebeli,useful
მოღე,moRe,useful
მორგე,morge,useful
ოჩიებელი,oCiebeli,conversational
ორაგადე,oragade,conversational
საკაკალო,sakakalo,snack bar
სასაფლა,sasafla,cemetery
ოძიცე,oZice,funny
საციგანო,sacigano,funny
სასახელო,sasaxelo,famous
სათოისერო,saToisero,entertaining
ოსიამოვნებელი,osiamovnebeli,pleasant
სასიცოცხლო,sasicocxlo,vital
სასინჯალო,sasinjalo,"prospective son-in-law, prospective brother-in- law"
სახიოლე,saxiole,joyous
ოშუმალი,oSumali,alcohol
ოჭკომალი,oWkomali,food and drink
სასმისი,sasmisi,vessel
იმენდდინაფილი,imenddinafili,desperate
სასტიკი,sastiki,severe
უდუნდებუ,udundebu,severe
სასუმარო,sasumaro,hotel
ოსუნთქებელი,osunTqebeli,breathing
კორინაფილი,korinafili,desired
ოგურაფალი,ogurafali,school
ოგურაფალი,ogurafali,to be learned
სანწალე,sanwale,miracle
სახწორი,saxwori,scales
სატანა,satana,Satan
ეშმაკი,eSmaki,Satan
ჸოროფილი,Yorofili,sweetheart
სატყალო,satyalo,for forest
რაგადი,ragadi,conversation
საჩიარი,saCiari,conversation
კაკალუა,kakalua,breakfast
საუჯგუშო,saujguSo,best
საუკუნო,saukuno,century
საფაჩი,safaCi,small bullet/pellet
ქირა,qira,fee
საფულე,safule,grave
ფარსაკი,farsaki,threat
ოშქურანჯი,oSquranji,threat
ოშქურინეია,oSqurineia,scarecrow
ქირსა,qirsa,wallet
ოქუალი,oquali,to be milled
ოხეკალი,oxekali,scrubber
ოქოთომე,oqoTome,hen house
ოკვანწაია,okvanwaia,swing
საქვარი,saqvari,"affair, business"
საქომონჯო,saqomonjo,fiancé
საკამპანიო,sakampanio,wedding
ოშუალი,oSuali,knitting
ონჯუა,onjua,evening
ოღაფალი,oRafali,paint
საღორონთო,saRoronTo,holy
თელი,Teli,healthy
ოღეჯე,oReje,pig house
ოსკუ,osku,pig house
ოჸინუე,oYinue,freezer
ხორხიტა,xorxita,esophagus /oesophagus
საყმარწვილო,saymarwvilo,for children
ხაბიჯგი,xabijgi,supporting
სათოლჸუჯო,saTolYujo,important
ოჸუჯე,oYuje,ear-ring
საბანძღო,sabanZRo,captious
ოშანქარე,oSanqare,sugar-basin
საშვი,saSvi,pass
სასქუალე,sasquale,uterus
საონჯახო,saonjaxo,home
საშინელი,saSineli,scary
საშიშროება,saSiSroeba,threat
საქირსო,saqirso,Christmas
საშვალება,saSvaleba,means
საშვალო,saSvalo,average
ოჩქარებელი,oCqarebeli,urgent
ოჩაიე,oCaie,tea
საჩქიმო,saCqimo,"intended for me, suitable for me"
საჩქინო,saCqino,"intended for us, suitable for us"
საორჩანო,saorCano,"awkward, delicate"
საორიო,saorio,shady
შიონახებელი,Sionaxebeli,depository
კუჩხიშ,kuCxiS,"path, bridge)"
ოცადებელი,ocadebeli,"trial, to be tested"
ოსხაპუე,osxapue,for
ტკიბირი,tkibiri,sieve
გიმათირალი,gimaTirali,underwear
საცივი,sacivi,meal with boiled turkey and walnut sauce
გიოფორალი,gioforali,cork
ოსუმალარი,osumalari,ointment
ქობალიშ,qobaliS,bakery
ფურნე,furne,bakery
საძინძღარი,saZinZRari,nasty
დარულაფარი,darulafari,sleeping
ონჯირალი,onjirali,bedroom
სარწკველი,sarwkveli,foundation
ოსხირი,osxiri,foundation
საჯიმალო,sajimalo,brotherhood
ოდიარუ,odiaru,pasture
გასაჯოგე,gasajoge,hated
ოწამალარი,owamalari,poison
საწბელი,sawbeli,sauce
კვარწახი,kvarwaxi,sauce
ოჭარალი,oWarali,writing
ოწვალებერი,owvaleberi,torturing
ოჭვემური,oWvemuri,raincoat
ოწიმინდალი,owimindali,for cleaning
ოჭინახუ,oWinaxu,winepress
გიონჯირალი,gionjirali,bed
ოწირალი,owirali,filter
ოზიმალი,ozimali,measure
ორკინებელი,orkinebeli,wrestling
აუცილებერი,aucileberi,necessary
სახარხო,saxarxo,people's
სახარება,saxareba,gospel
სახარჯო,saxarjo,to be spent
სახე,saxe,face
ოხეირებელი,oxeirebeli,profitable
სახელგოტახილი,saxelgotaxili,dishonored
უცბაშიანი,ucbaSiani,promptly made /prepared/ created
სახელი,saxeli,name
ხეფორჩა,xeforCa,sleeve
ჭუმანერშო,WumanerSo,for tomorrow
სახინკლე,saxinkle,place where khinkali is made
სახიფართო,saxifarTo,dangerous
ოშქურენჯი,oSqurenji,dangerous
ჸუდე,Yude,house
ოშქვიდაფალი,oSqvidafali,gibbet
გასაშინე,gasaSine,remembrance
ოსხაპინაფალი,osxapinafali,skipping
ორთვალი,orTvali,roof
გიოხვენჯი,gioxvenji,seat
საჯიშო,sajiSo,pedigree
სეირნობა,seirnoba,to stroll
ზუგა,zuga,low mountain
სუკი,suki,low mountain
სესხება,sesxeba,to lend
სესხი,sesxi,loan
კირცხი,kircxi,hail
მოსახელე,mosaxele,namesake
შოლირი,Soliri,wet
სიმეტი,simeti,column
სმეტი,smeti,column
ფშალია,fSalia,hop
ულა,ula,walk
წიკუა,wikua,to dirty
უბადო,ubado,villainy
სიჰამა,sihama,pleasure
ბურჭობა,burWoba,infertility
სიბინძურე,sibinZure,filth
რუმაფა,rumafa,darkness
გურიშ,guriS,anger
სიჸვერე,siYvere,blindness
მენცარობა,mencaroba,wisdom
სისუსტე,sisuste,leanness
სიგანა,sigana,width
სიფართა,sifarTa,width
სიგინძა,siginZa,length
მაგინძა,maginZa,length
სიდაბალე,sidabale,shortness
დიანთილი,dianTili,a wife's mother-in-law mother
სიდიდა,sidida,"size, quantity, bigness"
გაჭირება,gaWireba,poverty
სიინწრა,siinwra,narrowness
სიინწროვე,siinwrove,narrowness
ლანთირობა,lanTiroba,laziness
სიზმარი,sizmari,dream
სიტიბა,sitiba,heat
სიკაკაჩე,sikakaCe,brightness
ჯგირობუა,jgirobua,kindness
ღურა,Rura,death
ღურალა,Rurala,mortality
დაცუა,dacua,slap
ტკვაჩუა,tkvaCua,slap
სილურჯე,silurje,bluishness
სიმანგარე,simangare,hardness
გურმანგარობა,gurmangaroba,courage
მუანთილი,muanTili,a wife's father-in-law father
ფინდიხუა,findixua,quickness
სიმართე,simarTe,truth
სიმარჯვე,simarjve,adroitness
სიმაღალა,simaRala,height
უპატიოსნობა,upatiosnoba,humility
სიდიმდარე,sidimdare,wealth
შუმილობა,Sumiloba,drunkenness
სიწყითუე,siwyiTue,saltiness
სიკუნტარე,sikuntare,shortness
სიჭვახე,siWvaxe,acidity
სიმრავლე,simravle,multitude
სიმსივნე,simsivne,tumor
კიბო,kibo,tumor
სიგვანა,sigvana,obesity
სიშხუშხარე,siSxuSxare,thickness
ბირა,bira,song
შურიშ,SuriS,stench
სიწყნარე,siwynare,coziness
სქირაფილი,sqirafili,dryness
სიქექე,siqeqe,lightness
სიჭიჭარე,siWiWare,lack
სიმონკა,simonka,heaviness
სიძალიერე,siZaliere,power
სინწარე,sinware,bitterness
სიწვანე,siwvane,greenness
სიმონჭე,simonWe,maturity
ქერთა,qerTa,heat
ქერეთი,qereTi,heat
სინთე,sinTe,light
სინანდულე,sinandule,reality
ნარღება,narReba,regret
სვინდისი,svindisi,conscience
სიახალე,siaxale,youthfulness
სილამე,silame,dampness
სილიბარე,silibare,softness
რულა,rula,to run
სირთულე,sirTule,difficulty
ონჯღორე,onjRore,shame
ეფშაფა,efSafa,fullness
სილამე,silame,wetness
სინოტივე,sinotive,wetness
სისუსთე,sisusTe,weakness
სისუფთე,sisufTe,cleanliness
სისქა,sisqa,thickness
ზისხირი,zisxiri,blood
ზისხირამი,zisxirami,bloody
ზისხირიშ,zisxiriS,blood vessel
სიტობა,sitoba,depth
ჸოროფა,Yorofa,love
ყმარწულობა,ymarwuloba,youth
სიჸუნგე,siYunge,deafness
სიშორე,siSore,distance
ჩიმუჩამუ,Cimu-Camu,silence
ჩხურუ,Cxuru,"cold, coldness"
ძიცა,Zica,to laugh
სიცოცხლე,sicocxle,life
ტყურა,tyura,lie
სინჩხე,sinCxe,fever
სინჯა,sinja,son/brother-in-law
სიჯვეშე,sijveSe,antiquity
სიგერგეზე,sigergeze,strength
სიძნელე,siZnele,difficulty
გოჯოგაფა,gojogafa,hatred
სიწკუნწკე,siwkunwke,stinginess
ბოშალა,boSala,youth
სირჭელე,sirWele,diversity
სიხარბე,sixarbe,greediness
სიშხირე,siSxire,frequency
სიღიათე,siRiaTe,"soundness, good healsth"
სიჯიუტე,sijiute,stubbornness
სკა,ska,hive
სუმალა,sumala,to grease
რჩქილა,rCqila,to hear
მუხუდო,muxudo,soya
სოკო,soko,mushroom
სოფელარი,sofelari,villager
ურკებუ,urkebu,2. fat
რსულას,rsulas,completely
გვალო,gvalo,completely
რშვინუა,rSvinua,to whistle
სუმარი,sumari,guest
სუმარალა,sumarala,to visit
გვალო,gvalo,totally
სელეგინი,selegini,type of Georgian cheese
შურდგუმილი,Surdgumili,living been
ბოროია,boroia,fool
ტვინგალი,tvingali,fool
შური,Suri,spirit
დუხი,duxi,perfume
შურუა,Surua,to smell
შურიშღალა,SuriSRala,to breathe
შური,Suri,smell
ორკოლი,orkoli,carafe
სურდუ,surdu,coryza
კორინუა,korinua,to wish
კორინაფა,korinafa,wish
სურუ,suru,ivy
ფარკალა,farkala,weak
ხანწკა,xanwka,weak
შუშხუა,SuSxua,to frost
ჩხურუ,Cxuru,frost
ჸინი,Yini,frost
სუფრა,sufra,table set for feast
სქელი,sqeli,thick
წორი,wori,"right, correct"
თინუ,Tinu,"right, correct"
წორას,woras,correctly
თინას,Tinas,correctly
დოხუნა,doxuna,to sit
შაყარუა,Sayarua,meeting
კათუა,kaTua,meeting
ცხოტუა,cxotua,to hack smth. off
შხვა,Sxva,other
შხვაში,SxvaSi,other's
სხუნუა,sxunua,to prune the vine
ჩხორია,Cxoria,ray
ბუნა,buna,to pour
ლეტა,leta,mud
ტანადი,tanadi,well-built
ტანი,tani,body
ტანმიკოქვენჯი,tanmikoqvenji,clothes
ტანისამოსი,tanisamosi,clothes
ჸონაფა,Yonafa,to carry
ტარი,tari,handle
ტაში,taSi,to clap
ეკლესია,eklesia,temple
ტახტი,taxti,ottoman bench
ტობა,toba,lake
დინოკუჭაფა,dinokuWafa,to stuff
ტვინი,tvini,brain
ოღალი,oRali,burden
ხარგა,xarga,burden
ფაფაფი,fafafi,to float
ჩინჩი,CinCi,louse
ხამი,xami,linen
ნგარა,ngara,to cry
ტყიტყონი,tyityoni,to knead badly
ტიფა,tifa,typhus
ტკვილი,tkvili,sweet
გემუანი,gemuani,sweet
ტკბილეული,tkbileuli,"confection, goodies"
გემუანი,gemuani,"confection, goodies"
წყუნაფა,wyunafa,to hurt
ტკაცაფი,tkacafi,to slap
წყუნაფა,wyunafa,pain
სირქუა,sirqua,to lick
ტოლი,toli,equal
ტომარე,tomare,bag
საკი,saki,bag
ტორი,tori,paw
ნოჸველა,noYvela,branch
ჸა,Ya,branch
ბეხუ,bexu,boastful
ბეხია,bexia,boastful
ჸოროფა,Yorofa,to love
ტყები,tyebi,leather
ტყა,tya,forest
ჸომური,Yomuri,"type of a plum, plum sauce"
ტყვია,tyvia,bullet
ტყუბი,tyubi,twin
ნაჟირალა,naJirala,twin
უგამაგო,uga-mago,"smb./smth. without a place, inappropriate"
გვალე,gvale,latest
უხოლაში,uxolaSi,nearest
უბედური,ubeduri,pitiful
ლუბა,luba,bosom
უჸვაიჭარე,uYvaiWare,unlucky
უბედურობა,ubeduroba,misfortune
უბადო,ubado,misfortunate
რეგვენი,regveni,mindless
უზნობე,uznobe,unconscious
უდიდალე,udidale,orphan
უდირაკუ,udiraku,resolute
უდღაშიე,udRaSie,premature
დღაუმუთებუ,dRaumuTebu,premature
უნინე,unine,dumb
უცბაშიანი,ucbaSiani,sudden
უეჭველი,ueWveli,indubitable
უვადო,uvado,"permanent, without time-limit, termless"
ულინუ,ulinu,untrodden
ურგებელი,urgebeli,"useless, wretched"
გლახა,glaxa,"useless, wretched"
ურჩქენჯი,urCqenji,ignorant
უნებელი,unebeli,safe
აბჟანდი,abJandi,stirrup
ჯილო,jilo,huge
უფალჟინი,ufalJini,supreme
ღორონთი,RoronTi,supreme
უკაკალე,ukakale,hungry
უხეცე,uxece,hungry
უზნო,uzno,immoral
ურდუ,urdu,ill-mannered
უგამაგე,ugamage,aimless
უთანასწორობა,uTanasworoba,"inequality, unequality"
იალონი,ialoni,at dawn
უნინე,unine,unspoken
უძალე,uZale,feeble
უჭყანე,uWyane,feeble
უიმენდო,uimendo,hopeless
უიღბალე,uiRbale,unlucky
უკარება,ukareba,haughty
უკახალე,ukaxale,back
უკალონო,ukalono,illegal
უკოჩე,ukoCe,without a man
უკოჩობა,ukoCoba,being without a man
უკიბირე,ukibire,without a thooth
უჯგუშო,ujguSo,better
ვაღურია,vaRuria,immortal
უკვე,ukve,already
ურკებუო,urkebuo,everybody
კონწარი,konwari,harsh
უკუმეხე,ukumexe,harsh
უკუდელე,ukudele,tailless
უკუნი,ukuni,"darkness, gloom"
კვარჩხიშე,kvarCxiSe,vice versa
კვარჩხი,kvarCxi,bad and unjust
უსქვამელა,usqvamela,ugly
ურაჸუ,uraYu,stallion
უდულიერი,udulieri,inexhaustible
უდულიებუ,uduliebu,inexhaustible
ოშმეში,oSmeSi,mustache
ინჯრა,injra,portion
უმაგალითო,umagaliTo,unprecedented
მადადინაფილი,madadinafili,having no appetite
უმარდული,umarduli,ungrateful
უმანკო,umanko,innocent
ხეუმუკიდირუ,xeumukidiru,innocent
უჯიმოლი,ujimoli,salt-free
უმოსი,umosi,most
უჩხანე,uCxane,sunless
უბჟალე,ubJale,sunless
უმიზანო,umizano,aimless
უმკუჭვებუო,umkuWvebuo,painless
უმუშერა,umuSera,unemployed
უმცირესობა,umciresoba,minority
უკულაში,ukulaSi,junior
უწყარმანკე,uwyarmanke,weak
უკილე,ukile,faultless
უნალექო,unaleqo,"without sediment, dry weather"
ულამუსე,ulamuse,dishonest
უნარღებელი,unarRebeli,carefree
უზვერული,uzveruli,barren
ოკო,oko,"wants, must, have to"
უკორნებუ,ukornebu,involuntary
უიმენდო,uimendo,disconsolate
უოჯახე,uojaxe,without a family
უპატიცემობა,upaticemoba,disrespect
უმოსობა,umosoba,advantage
გინომეტება,ginometeba,advantage
უჟანგუ,uJangu,stainless
ოლეკეტი,oleketi,of a door bolt
ურემი,uremi,araba
ურო,uro,sledgehammer
უკურღვაფუ,ukurRvafu,inviolable
ტკიცე,tkice,firm
ურჩხული,urCxuli,monster
უონჯღორე,uonjRore,shameless
უწყარუ,uwyaru,unirrigated
ურჩულა,urCula,infidel
შხვა,Sxva,infidel
აუცილებერო,aucilebero,certainly
უსამართო,usamarTo,unfair
უქიანე,uqiane,without motherland
უსაქვარე,usaqvare,lazybones
უკარე,ukare,homeless
უფარე,ufare,poor
უსვინდისო,usvindiso,dishonest
უზისხირე,uzisxire,bloodless
უჸოროფე,uYorofe,loveless
უგუხარებელი,uguxarebeli,joyless
უშუმური,uSumuri,person who has not drunk anything
უშურე,uSure,inanimate
უგურაფუ,ugurafu,"illiterate, uneducated"
უტარე,utare,handleless
უგუტახუ,ugutaxu,inviolable
ტვენტვერე,tventvere,brainless
უტვინე,utvine,brainless
უონჯღორე,uonjRore,brazen
უგემუანაში,ugemuanaSi,the sweetest
შურუბუმუ,Surubumu,"mute, wordless"
ნანდულას,nandulas,true
უფალი,ufali,God
ფერდინაფილი,ferdinafili,colorless
უჩხვინჩხვე,uCxvinCxve,rootless
უკუჩხე,ukuCxe,legless
უნჩაში,unCaSi,"eldest, head, boss"
წკვარამი,wkvarami,chasm
უთომაფუ,uTomafu,unleavened
უფარე,ufare,moneyless
უქვი,uqvi,rest day
უქონებე,uqonebe,indigent
უნჯო,unjo,indigent
უღუ,uRu,yoke
უღვენე,uRvene,feeble
ტები,tebi,forest dense
უდამური,udamuri,forest dense
უტომბაში,utombaSi,the deepest
უგამაგა,ugamaga,wasteful
უორჩანებუო,uorCanebuo,without hesitation
უჩქიმეთ,uCqimeT,without me
უგმურჩქინუ,ugmurCqinu,invisible
უცბას,ucbas,suddenly
უცმას,ucmas,suddenly
უჩინებუ,uCinebu,unknown
უცოდარი,ucodari,sinless
უქონე,uqone,fat-free
ურცხო,urcxo,strange
უცხოელი,ucxoeli,foreigner
უცხოური,ucxouri,foreign
უდუმარცხებუ,udumarcxebu,invincible
უანჯე,uanje,powerless
ურზუნი,urzuni,powerless
უზაბაკე,uzabake,immovable
ურძღაფუ,urZRafu,insatiable
წოხოლე,woxole,"before, earlier"
უგუჭყვადუ,uguWyvadu,"unbroken, continuous"
პუტატია,putatia,harmless
უჭირაკუ,uWiraku,unfading
უჟღირაფუ,uJRirafu,unfading
ტვენგერე,tvengere,stupid
უჭკომური,uWkomuri,"person, who does not like to eat, hungry"
უხალისო,uxaliso,reluctant
უწესო,uweso,obscene
ნირგა,nirga,weak-willed
ღინჩალი,RinCali,rough
ხვეიანი,xveiani,profuse
უხონარე,uxonare,soundless
უხორცე,uxorce,meatless
უჰაერო,uhaero,airless
ფალანდი,falandi,wrestler
ფანდური,fanduri,Georgian musical instrument
ფანტა,fanta,flake
დორღვაფა,dorRvafa,to squander
ფარა,fara,"flock, herd"
ფარო,faro,curtain
ორხუუ,orxuu,carpet
ფიჩვი,fiCvi,carpet
თანაბარი,Tanabari,equal
ფარონია,faronia,shed
ფარეხი,farexi,shed
ფორუა,forua,to cover
ფაცაფი,facafi,to fuss
ფართე,farTe,wide
ფარისოლი,farisoli,hypocrite
ღებარი,Rebari,hypocrite
ფულირი,fuliri,"secret, covert"
ფარღია,farRia,"badly built, with many holes"
ფოხვი,foxvi,"badly built, with many holes"
ფარჩხუა,farCxua,to spread wide apart
ფაცხი,facxi,harrow
ფარტუა,fartua,to gut
ფითქი,fiTqi,porridge
ფოფორი,fofori,mane
ფამფა,famfa,mane
ბოხოხი,boxoxi,Caucasian/Georgian shepherd's headgear
ჯღარკალი,jRarkali,to boast
ფაცქია,facqia,delicate
ფუჩონი,fuConi,rustle
ფენთება,fenTeba,to scare
ფეთქება,feTqeba,to explode
ფერდი,ferdi,slope
სუკი,suki,slope
ფერაფა,ferafa,to pat
ფერი,feri,color
ფერნაჸილი,fernaYili,pale
ფერუამი,feruami,colorful
ფერფლი,ferfli,ash
ფოსვი,fosvi,root
ჩხვერი,Cxveri,millet
ფატი,fati,millet
კუჩხი,kuCxi,"leg, foot"
მოკათუ,mokaTu,pregnant
ჩაფულა,Cafula,shoe
კუჩხიშმადვალარი,kuCxiSmadvalari,shoe
კუჩხშული,kuCxSuli,barefoot
კუჩხშვეე,kuCxSvee,barefoot
ქვინჯე,qvinje,pestle
ფირტვი,firtvi,lung
ციბა,ciba,pussy
კატუ,katu,pussy
ფატალუა,fatalua,to snow
ფატალა,fatala,snowflake
ფუფქი,fufqi,snowflake
ფირქი,firqi,thought
სარზება,sarzeba,thought
ჩხვერკი,Cxverki,brushwood
ფუჩაფა,fuCafa,oath
ოდა,oda,wooden house
სარანჯი,saranji,honeycomb
ფიჭვი,fiWvi,pine tree
ფიჭონა,fiWona,pinewood
მერღვაფა,merRvafa,to waste
ხაბო,xabo,collapsed riverbank
უფლება,ufleba,to own
ფოლო,folo,hoof
ფურცელი,furceli,leaf
დინოჩვარტილი,dinoCvartili,hollow
ეშაქორქომელი,eSaqorqomeli,hollow
ფსუა,fsua,wing
დაკვირებული,dakvirebuli,cautious
შქურინაფა,Squrinafa,to scare
ფაფალა,fafala,"steep, sheer rock"
ფრინველი,frinveli,bird
ბირცხა,bircxa,nail
ქვინჯი,qvinji,bottom
ფსკირი,fskiri,bottom
ფუთა,fuTa,package
გოკირუა,gokirua,to pack
ტიბას,tibas,to wrap
ფუნჩულა,funCula,plump
ფურტინი,furtini,spit
მიკოფურტინუა,mikofurtinua,to spit
ფუჯი,fuji,cow
ფურნე,furne,bake-house
ფურცელი,furceli,"sheet, page"
ფაცურუა,facurua,to fuss
სკა,ska,bee
თქუთქუა,TquTqua,to scald
რღომა,rRoma,hallow
ფუტურო,futuro,hallow
ფურჩა,furCa,leaves surrounding an ear of a corn
ფუზე,fuze,base
ტყურაია,tyuraia,"useless, without any results"
ქუალა,quala,to grind
ქვირი,qviri,flour
ჩიჩოლუა,CiColua,to crumble
ცქვა,cqva,fish bone
ჩხომიშ,CxomiS,fish bone
ხაბაკი,xabaki,to scrape
ჩამინი,Camini,to itch
ცხაბარუა,cxabarua,to scratch
ხეკუა,xekua,to scrape
ჩინჩოლუა,CinColua,to crumble
ხირზელი,xirzeli,sober
ქადაგუა,qadagua,to preach
ქოთომი,qoTomi,hen
ქანქალია,qanqalia,very white
თანთალია,TanTalia,very white
კოფო,kofo,skull
ოსურადამიანი,osuradamiani,lady
ოსურპატონი,osurpatoni,lady
ოსური,osuri,woman
ცირასქუა,cirasqua,daughter
ოსურსქუა,osursqua,virgin
ორტყაფუ,ortyafu,belt
ქარბუქი,qarbuqi,blizzard
ქარგუა,qargua,to embroider
ბორია,boria,wind
შხიფი,Sxifi,storm
ქარქაში,qarqaSi,sheath
ქატო,qato,bran
ჟვეპური,Jvepuri,foam
ქაღარდი,qaRardi,paper
ტვეფერია,tveferia,bald
სოფინი,sofini,to pull
ცქვაფა,cqvafa,to praise
სუკი,suki,ridge
ხირხი,xirxi,ridge
ჸინჩი,YinCi,arrogant
ყმედი,ymedi,arrogant
ქეიფი,qeifi,feast
რხინი,rxini,feast
ქელეხი,qelexi,funeral repast/feast
ქერექენი,qereqeni,barley
ქერცა,qerca,dandruff
შვები,Svebi,bark
ქერცი,qerci,scale
სურსუ,sursu,mange
ქუა,qua,stone
ჩუანი,Cuani,"pan, pot"
კარდალა,kardala,"pan, pot"
ლაგვანი,lagvani,pitcher
თუდო,Tudo,under
ქვერქვენწია,qverqvenwia,reptile
გილმასარგალე,gilmasargale,reptile
ქვითკირი,qviTkiri,mortared lime and stone
რქვივი,rqvivi,"widow, widower"
დამაზი,damazi,plum
ქომონჯი,qomonji,husband
ქიმინუა,qiminua,to do
რქუალა,rquala,to shake
კოტო,koto,pot
ღვენა,Rvena,to have
ქონი,qoni,fat
ქირი,qiri,hawk
ფაჭაჭი,faWaWi,topknot
ქრთამუა,qrTamua,to corrupt
ქრთამი,qrTami,bribe
შქირიტუა,Sqiritua,to turn off
რქიება,rqieba,to blow
რშვილი,rSvili,cloth
ხირუა,xirua,to rob
ქური,quri,heel
ბუნა,buna,to spill
ღაღაბი,RaRabi,double chin
ნორცხვა,norcxva,ember
სერი,seri,night
ოხვამეშჭუკი,oxvameSWuki,bat
ღარიბი,Raribi,poor
ღაფუა,Rafua,to paint
ღალუ,Ralu,brook
ღერი,Reri,trunk
ღაჭუა,RaWua,to chew
ღანჯი,Ranji,malice
ღვთიშობელი,RvTiSobeli,the Virgin Mary
ღვინი,Rvini,wine
ჩხონჩხი,CxonCxi,liver
გონჯამილი,gonjamili,open
გონწყუმილი,gonwyumili,open
ღირუა,Rirua,to cost
ღილიტუა,Rilitua,to fleece
ღობერი,Roberi,fence
ღობუა,Robua,to fence
ღუმუ,Rumu,hominy
ღონე,Rone,"strength, force"
ღონიერი,Ronieri,strong
სქინჩალი,sqinCali,strong
ღეჯი,Reji,pig
ჩირჩოლი,CirColi,to crawl
მჩქვა,mCqva,buck-tooth
რღიაფი,rRiafi,roar
ღვეჟელი,RveJeli,roar
ხაჩალი,xaCali,hubbub
ღანჩალი,RanCali,hubbub
ტომბა,tomba,deep
მუნაფა,munafa,cloud
ნოლი,noli,gum
რშუმაფა,rSumafa,to dislocate joints
ტყურაია,tyuraia,false
ჸვანა,Yvana,cornfield
აბრაგი,abragi,robber
ღვანწკი,Rvanwki,jaw
ფიღვაია,fiRvaia,mumps
ყალი,yali,throat
ლალუა,lalua,to bark
კვარია,kvaria,crow
ყვავილი,yvavili,flower
პეული,peuli,flower
არძოართო,arZoarTo,all
იფრელართო,ifrelarTo,everything
ირდიხას,irdixas,everywhere
ჸვალი,Yvali,cheese
ჸვინთელი,YvinTeli,yellow
ღვარაფი,Rvarafi,to shout
სეტელუა,setelua,to roam
ჸიდირი,Yidiri,to buy
ჸინუა,Yinua,to freeze
ჸინი,Yini,ice
ყინტუა,yintua,to swallow
შეჸელი,SeYeli,shoot
ყმაწული,ymawuli,boy
ომორდუალი,omorduali,boy
ჸუნა,Yuna,to have
ჸოფა,Yofa,to be
ბაღება,baReba,to be sufficient
რღვაფა,rRvafa,to throw
ჸუნგა,Yunga,deaf
ჩამურაფა,Camurafa,attention
ძგიდე,Zgide,gulf
კირდე,kirde,gulf
ჸუჯი,Yuji,ear
ჸურზენი,Yurzeni,grape
საბატონი,sabatoni,Saturday
უჩა,uCa,black
შალაშინი,SalaSini,jointer-plane
შამბი,Sambi,tall and thick grass
ფსუმა,fsuma,to urinate
შალვარი,Salvari,trousers
გოწოხ,gowox,two years ago
